# root               , notes                                                                , omega_b , omega_cdm , h      , A_s       , n_s    , alpha_s , N_ur   , N_ncdm , omega_ncdm , w0_fld , wa_fld , sigma8_m , sigma8_cb
abacus_cosm130     , "Emulator grid around baseline cosmology                             ", 0.02237 ,  0.1200   , 0.6736 , 1.6140e-09, 0.9649 , 0.000  , 2.0328 , 1      , 0.00064420 , -1.000 , 0.000  , 0.711201 , 0.714197
abacus_cosm131     , "Emulator grid around baseline cosmology                             ", 0.02237 ,  0.1086   , 0.7165 , 2.3146e-09, 0.9649 , 0.000  , 2.0328 , 1      , 0.00064420 , -1.000 , 0.000  , 0.807866 , 0.811587
abacus_cosm132     , "Emulator grid around baseline cosmology                             ", 0.02237 ,  0.1200   , 0.6736 , 2.1791e-09, 0.9049 , 0.000  , 2.0328 , 1      , 0.00064420 , -1.000 , 0.000  , 0.808189 , 0.811584
abacus_cosm133     , "Emulator grid around baseline cosmology                             ", 0.02237 ,  0.1200   , 0.6736 , 2.6144e-09, 0.9649 , 0.000  , 2.0328 , 1      , 0.00064420 , -1.000 , 0.000  , 0.905163 , 0.908976
abacus_cosm134     , "Emulator grid around baseline cosmology                             ", 0.02237 ,  0.1326   , 0.6319 , 1.9066e-09, 0.9649 , 0.000  , 2.0328 , 1      , 0.00064420 , -1.000 , 0.000  , 0.808458 , 0.811566
abacus_cosm135     , "Emulator grid around baseline cosmology                             ", 0.02237 ,  0.1200   , 0.6736 , 1.9904e-09, 1.0249 , 0.000  , 2.0328 , 1      , 0.00064420 , -1.000 , 0.000  , 0.808160 , 0.811573
abacus_cosm136     , "Emulator grid around baseline cosmology                             ", 0.02073 ,  0.1192   , 0.6618 , 2.5239e-09, 0.9303 , 0.000  , 2.0328 , 1      , 0.00064420 , -1.000 , 0.000  , 0.882475 , 0.886249
abacus_cosm137     , "Emulator grid around baseline cosmology                             ", 0.02212 ,  0.1271   , 0.6472 , 1.6540e-09, 0.9252 , 0.000  , 2.0328 , 1      , 0.00064420 , -1.000 , 0.000  , 0.729693 , 0.732609
abacus_cosm138     , "Emulator grid around baseline cosmology                             ", 0.02108 ,  0.1138   , 0.6847 , 2.2282e-09, 0.9723 , 0.000  , 2.0328 , 1      , 0.00064420 , -1.000 , 0.000  , 0.821432 , 0.825095
abacus_cosm139     , "Emulator grid around baseline cosmology                             ", 0.02416 ,  0.1128   , 0.7164 , 2.1681e-09, 0.9732 , 0.000  , 2.0328 , 1      , 0.00064420 , -1.000 , 0.000  , 0.793003 , 0.796493
abacus_cosm140     , "Emulator grid around baseline cosmology                             ", 0.02096 ,  0.1221   , 0.6536 , 1.8126e-09, 0.9893 , 0.000  , 2.0328 , 1      , 0.00064420 , -1.000 , 0.000  , 0.772033 , 0.775267
abacus_cosm141     , "Emulator grid around baseline cosmology                             ", 0.02381 ,  0.1272   , 0.6623 , 1.9945e-09, 0.9384 , 0.000  , 2.0328 , 1      , 0.00064420 , -1.000 , 0.000  , 0.799575 , 0.802737
abacus_cosm142     , "Emulator grid around baseline cosmology                             ", 0.02287 ,  0.1130   , 0.7038 , 1.6701e-09, 0.9927 , 0.000  , 2.0328 , 1      , 0.00064420 , -1.000 , 0.000  , 0.707082 , 0.710219
abacus_cosm143     , "Emulator grid around baseline cosmology                             ", 0.02206 ,  0.1278   , 0.6443 , 2.1084e-09, 0.9952 , 0.000  , 2.0328 , 1      , 0.00064420 , -1.000 , 0.000  , 0.847522 , 0.850903
abacus_cosm144     , "Emulator grid around baseline cosmology                             ", 0.02210 ,  0.1130   , 0.6968 , 2.7653e-09, 0.9279 , 0.000  , 2.0328 , 1      , 0.00064420 , -1.000 , 0.000  , 0.891360 , 0.895324
abacus_cosm145     , "Emulator grid around baseline cosmology                             ", 0.02428 ,  0.1186   , 0.6961 , 2.1634e-09, 0.9347 , 0.000  , 2.0328 , 1      , 0.00064420 , -1.000 , 0.000  , 0.801404 , 0.804769
abacus_cosm146     , "Emulator grid around baseline cosmology                             ", 0.02097 ,  0.1180   , 0.6682 , 1.9020e-09, 0.9351 , 0.000  , 2.0328 , 1      , 0.00064420 , -1.000 , 0.000  , 0.762696 , 0.765984
abacus_cosm147     , "Emulator grid around baseline cosmology                             ", 0.02113 ,  0.1215   , 0.6498 , 1.9081e-09, 0.9587 , 0.000  , 2.0328 , 1      , 0.00064420 , -0.809 , -0.628  , 0.777157 , 0.780416
abacus_cosm148     , "Emulator grid around baseline cosmology                             ", 0.02289 ,  0.1201   , 0.6199 , 1.9629e-09, 0.9380 , 0.000  , 2.0328 , 1      , 0.00064420 , -0.925 , 0.393  , 0.714913 , 0.717888
abacus_cosm149     , "Emulator grid around baseline cosmology                             ", 0.02188 ,  0.1200   , 0.6688 , 2.1521e-09, 0.9913 , 0.000  , 2.0328 , 1      , 0.00064420 , -1.174 , 0.613  , 0.824854 , 0.828343
